CASEID,SNRLGSVC,SNRLGIMP,SNRLDCSN,SNRLFRND
30435,99,99,99,99
30436,25-52,Strongly Agree,Strongly Agree,Disagree
30437,25-52,Strongly Agree,Strongly Agree,Disagree
30438,25-52,Agree,Agree,Disagree
30439,99,99,99,99
30440,99,99,99,99
30441,6-24,Agree,Agree,Disagree
30442,52+,Strongly Agree,Strongly Agree,Strongly Agree
30443,25-52,Strongly Agree,Strongly Agree,Disagree
30444,25-52,Agree,Agree,Agree
30445,0,Disagree,Disagree,Disagree
30446,0,Agree,Disagree,Disagree
30447,52+,Strongly Agree,Strongly Agree,Strongly Agree
30448,99,99,99,99
30449,6-24,Agree,Agree,Disagree
30450,0,Agree,Strongly Disagree,Disagree
30451,0,Strongly Disagree,Agree,Strongly Disagree
30452,99,99,99,99
30453,52+,Strongly Agree,Strongly Agree,Agree
30454,99,99,99,99
30455,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30456,99,99,99,99
30457,0,Strongly Agree,Agree,Agree
30458,0,Strongly Disagree,Strongly Disagree,Disagree
30459,52+,Agree,Agree,Disagree
30460,99,99,99,99
30461,99,99,99,99
30462,99,99,99,99
30463,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30464,52+,Strongly Agree,Strongly Agree,Disagree
30465,25-52,Strongly Agree,Strongly Agree,Strongly Agree
30466,25-52,Agree,Agree,Agree
30467,0,Disagree,Disagree,Strongly Disagree
30468,0,Agree,Agree,Disagree
30469,25-52,Strongly Agree,Agree,Disagree
30470,0,Agree,Agree,Agree
30471,3-5,Strongly Agree,Agree,Agree
30472,3-5,Agree,Agree,Strongly Disagree
30473,0,Disagree,Agree,Agree
30474,25-52,Strongly Disagree,Strongly Disagree,Disagree
30475,99,99,99,99
30476,0,Disagree,Disagree,Agree
30477,99,99,99,99
30478,52+,Strongly Agree,Strongly Agree,Strongly Agree
30479,0,Agree,Agree,Strongly Disagree
30480,3-5,Disagree,Disagree,Strongly Disagree
30481,52+,Disagree,Strongly Disagree,Strongly Disagree
30482,99,99,99,99
30483,0,Disagree,Strongly Disagree,Strongly Disagree
30484,1-2,Agree,Agree,Agree
30485,99,99,99,99
30486,0,Strongly Disagree,Disagree,Strongly Disagree
30487,1-2,Agree,Agree,Strongly Disagree
30488,99,99,99,99
30489,0,Disagree,Disagree,Disagree
30490,3-5,Disagree,Agree,Disagree
30491,3-5,Agree,Agree,Disagree
30492,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30493,0,Agree,Agree,Strongly Disagree
30494,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30495,99,99,99,99
30496,99,99,99,99
30497,1-2,Disagree,Disagree,Strongly Disagree
30498,0,Disagree,Disagree,Strongly Disagree
30499,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30500,52+,Agree,Agree,Disagree
30501,99,99,99,99
30502,99,99,99,99
30503,3-5,Agree,Agree,Disagree
30504,99,99,99,99
30505,99,99,99,99
30506,99,99,99,99
30507,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30508,99,99,99,99
30509,99,99,99,99
30510,25-52,Disagree,Disagree,Strongly Disagree
30511,3-5,Disagree,Disagree,Disagree
30512,99,99,99,99
30513,0,Agree,Agree,Agree
30514,99,99,99,99
30515,25-52,Strongly Agree,Strongly Agree,Agree
30516,52+,Strongly Agree,Strongly Agree,Agree
30517,99,99,99,99
30518,99,99,99,99
30519,1-2,Agree,Agree,Disagree
30520,0,Disagree,Strongly Disagree,Strongly Disagree
30521,6-24,Agree,Agree,Disagree
30522,6-24,Agree,Agree,Agree
30523,3-5,Disagree,Strongly Disagree,Strongly Disagree
30524,99,99,99,99
30525,99,99,99,99
30526,99,99,99,99
30527,99,99,99,99
30528,3-5,Strongly Disagree,Strongly Disagree,Strongly Disagree
30529,0,Strongly Agree,Strongly Agree,Disagree
30530,6-24,Strongly Disagree,Strongly Disagree,Disagree
30531,25-52,Strongly Agree,Agree,Agree
30532,0,Disagree,Disagree,Strongly Disagree
30533,25-52,Strongly Agree,Strongly Agree,Agree
30534,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
30535,99,99,99,99
30536,3-5,Agree,Agree,Disagree
30537,25-52,Strongly Agree,Agree,Agree
30538,0,Strongly Disagree,Agree,Disagree
30539,0,Agree,Agree,Agree
30540,3-5,Agree,Disagree,Strongly Disagree
30541,99,99,99,99
30542,99,99,99,99
30543,0,Disagree,Disagree,Disagree
30544,3-5,Agree,Disagree,Disagree
30545,6-24,Strongly Disagree,Strongly Disagree,Agree
30546,0,Agree,Agree,Strongly Disagree
30547,0,Strongly Disagree,Disagree,Disagree
30548,0,Disagree,Agree,Strongly Disagree
30549,99,99,99,99
30550,0,Strongly Agree,Strongly Agree,Strongly Disagree
30551,0,Disagree,Disagree,Strongly Disagree
30552,52+,Strongly Disagree,Strongly Disagree,Disagree
30553,0,Agree,Agree,Agree
30554,99,99,99,99
30555,25-52,Strongly Agree,Agree,Disagree
30556,6-24,Strongly Disagree,Strongly Disagree,Disagree
30557,99,99,99,99
30558,52+,Strongly Agree,Strongly Agree,Disagree
30559,99,99,99,99
30560,0,Disagree,Disagree,Disagree
30561,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30562,25-52,Strongly Disagree,Strongly Disagree,Disagree
30563,0,Agree,Disagree,Strongly Disagree
30564,1-2,Strongly Agree,Strongly Agree,Agree
30565,52+,Strongly Agree,Strongly Agree,Agree
30566,99,99,99,99
30567,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30568,6-24,Agree,Agree,Agree
30569,99,99,99,99
30570,0,Agree,Agree,Disagree
30571,1-2,Strongly Agree,Agree,Agree
30572,3-5,Strongly Agree,Strongly Agree,Disagree
30573,99,99,99,99
30574,99,99,99,99
30575,0,Strongly Agree,Strongly Agree,Strongly Agree
30576,25-52,Strongly Agree,Strongly Agree,Strongly Agree
30577,99,99,99,99
30578,52+,Strongly Agree,Strongly Agree,Strongly Agree
30579,52+,Strongly Disagree,Strongly Disagree,Agree
30580,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30581,0,Agree,Disagree,Strongly Disagree
30582,0,Strongly Agree,Agree,Disagree
30583,99,99,99,99
30584,99,99,99,99
30585,99,99,99,99
30586,99,99,99,99
30587,52+,Strongly Agree,Strongly Agree,Agree
30588,99,99,99,99
30589,99,99,99,99
30590,25-52,Agree,Agree,Disagree
30591,52+,Strongly Agree,Strongly Agree,Strongly Agree
30592,1-2,Agree,Strongly Agree,Strongly Disagree
30593,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30594,25-52,Strongly Agree,Strongly Agree,Strongly Agree
30595,6-24,Agree,Agree,Disagree
30596,0,Agree,Agree,Disagree
30597,99,99,99,99
30598,0,Agree,Disagree,Disagree
30599,0,Agree,Agree,Disagree
30600,25-52,Strongly Agree,Strongly Agree,Strongly Agree
30601,0,Disagree,Disagree,Disagree
30602,99,99,99,99
30603,1-2,Agree,Agree,Strongly Disagree
30604,0,Strongly Agree,Strongly Agree,Strongly Agree
30605,0,Disagree,Agree,Disagree
30606,25-52,Strongly Agree,Strongly Agree,Disagree
30607,0,Agree,Disagree,Strongly Disagree
30608,99,99,99,99
30609,1-2,Agree,Agree,Disagree
30610,52+,Strongly Agree,Strongly Agree,Strongly Disagree
30611,6-24,Strongly Agree,Strongly Agree,Strongly Disagree
30612,0,Disagree,Disagree,Disagree
30613,3-5,Agree,Agree,Agree
30614,99,99,99,99
30615,99,99,99,99
30616,25-52,Strongly Disagree,Agree,99
30617,0,Agree,Disagree,Disagree
30618,25-52,Strongly Agree,Strongly Agree,Agree
30619,99,99,99,99
30620,99,99,99,99
30621,25-52,Agree,Agree,Disagree
30622,99,99,99,99
30623,99,99,99,99
30624,52+,Strongly Disagree,Strongly Disagree,Agree
30625,0,Agree,Agree,Disagree
30626,6-24,Strongly Agree,Strongly Agree,Strongly Agree
30627,6-24,Strongly Agree,Agree,Strongly Disagree
30628,1-2,Agree,Disagree,Strongly Disagree
30629,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30630,25-52,Strongly Agree,Strongly Agree,Agree
30631,99,99,99,99
30632,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30633,0,Strongly Disagree,Agree,Agree
30634,0,Disagree,Agree,Strongly Disagree
30635,52+,Strongly Agree,Strongly Agree,Agree
30636,1-2,Agree,Agree,Disagree
30637,99,99,99,99
30638,0,Disagree,Agree,Strongly Disagree
30639,52+,Strongly Agree,Strongly Agree,Strongly Agree
30640,99,99,99,99
30641,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
30642,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30643,99,99,99,99
30644,99,99,99,99
30645,0,Disagree,Disagree,Disagree
30646,0,Disagree,Strongly Disagree,Strongly Disagree
30647,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30648,0,Agree,Agree,Disagree
30649,99,99,99,99
30650,99,99,99,99
30651,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30652,99,99,99,99
30653,99,99,99,99
30654,99,99,99,99
30655,25-52,Disagree,Disagree,Strongly Disagree
30656,99,99,99,99
30657,1-2,Agree,Agree,Disagree
30658,99,99,99,99
30659,3-5,Agree,Agree,Disagree
30660,0,Agree,Agree,Disagree
30661,25-52,Agree,Disagree,Strongly Disagree
30662,0,Disagree,Disagree,Disagree
30663,99,Agree,Agree,Disagree
30664,0,Agree,Agree,Disagree
30665,25-52,Strongly Agree,Strongly Agree,Disagree
30666,3-5,Strongly Agree,Agree,Disagree
30667,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30668,99,99,99,99
30669,99,99,99,99
30670,99,99,99,99
30671,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30672,52+,Strongly Agree,Strongly Agree,Strongly Agree
30673,52+,Strongly Agree,Strongly Agree,Strongly Agree
30674,3-5,Strongly Agree,Agree,Agree
30675,0,Agree,Strongly Disagree,Strongly Disagree
30676,6-24,Strongly Agree,Strongly Agree,Agree
30677,25-52,Agree,Agree,Disagree
30678,0,Agree,Agree,Agree
30679,6-24,Agree,Agree,Disagree
30680,0,Disagree,Disagree,Disagree
30681,52+,Strongly Agree,Strongly Agree,Disagree
30682,99,99,99,99
30683,99,99,99,99
30684,1-2,Disagree,Agree,Disagree
30685,6-24,Agree,Strongly Agree,Strongly Disagree
30686,1-2,Disagree,Disagree,Strongly Disagree
30687,1-2,Agree,Agree,Disagree
30688,6-24,Agree,Agree,Strongly Disagree
30689,99,99,99,99
30690,0,Agree,Agree,Disagree
30691,25-52,Strongly Agree,Strongly Agree,Strongly Disagree
30692,52+,Strongly Agree,Strongly Agree,Agree
30693,25-52,Strongly Agree,Strongly Agree,Strongly Agree
30694,3-5,Agree,Agree,Agree
30695,99,99,99,99
30696,1-2,Agree,Agree,Agree
30697,99,99,99,99
30698,25-52,Agree,Agree,Disagree
30699,99,99,99,99
30700,52+,Strongly Agree,Strongly Agree,Strongly Agree
30701,0,Disagree,Agree,Strongly Agree
30702,99,99,99,99
30703,0,Disagree,Disagree,Disagree
30704,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30705,52+,Strongly Agree,Strongly Agree,Agree
30706,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30707,0,Agree,Disagree,Disagree
30708,0,Agree,Disagree,Strongly Disagree
30709,6-24,Strongly Agree,Agree,Agree
30710,99,99,99,99
30711,0,Agree,Agree,Disagree
30712,1-2,Agree,Disagree,Strongly Disagree
30713,99,99,99,99
30714,52+,Strongly Disagree,Strongly Disagree,Strongly Agree
30715,25-52,Strongly Agree,Strongly Agree,Agree
30716,99,99,99,99
30717,99,99,99,99
30718,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30719,0,Agree,Agree,Agree
30720,99,99,99,99
30721,1-2,Agree,Agree,Disagree
30722,25-52,Strongly Agree,Strongly Agree,Agree
30723,99,99,99,99
30724,99,99,99,99
30725,0,Agree,Agree,Disagree
30726,99,99,99,99
30727,99,99,99,99
30728,99,99,99,99
30729,0,Agree,Disagree,Strongly Disagree
30730,1-2,Disagree,Disagree,Disagree
30731,25-52,Strongly Agree,Strongly Agree,Disagree
30732,52+,Strongly Agree,Strongly Agree,Strongly Agree
30733,25-52,Agree,Disagree,Strongly Disagree
30734,99,99,99,99
30735,0,Disagree,Disagree,Disagree
30736,3-5,Strongly Agree,Agree,Disagree
30737,0,Disagree,Agree,Disagree
30738,99,99,99,99
30739,1-2,Disagree,Disagree,Strongly Disagree
30740,3-5,Strongly Agree,Strongly Agree,Strongly Agree
30741,25-52,Strongly Agree,Agree,Agree
30742,99,99,99,99
30743,6-24,Strongly Disagree,Strongly Disagree,Disagree
30744,99,99,99,99
30745,99,99,99,99
30746,0,Agree,Agree,Strongly Disagree
30747,6-24,Agree,Agree,Agree
30748,0,99,Disagree,Strongly Disagree
30749,0,Strongly Disagree,Strongly Disagree,Disagree
30750,0,Disagree,Strongly Disagree,Strongly Disagree
30751,3-5,Agree,Disagree,Strongly Disagree
30752,99,99,99,99
30753,0,Agree,Disagree,Strongly Disagree
30754,99,99,99,99
30755,99,99,99,99
30756,99,99,99,99
30757,25-52,Strongly Agree,Strongly Agree,Disagree
30758,0,Disagree,Disagree,Disagree
30759,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30760,0,Agree,Agree,Agree
30761,99,99,99,99
30762,3-5,Agree,Agree,Agree
30763,0,Agree,Disagree,Disagree
30764,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30765,0,Strongly Agree,Agree,Strongly Disagree
30766,99,99,99,99
30767,99,99,99,99
30768,25-52,Agree,Agree,Disagree
30769,52+,Strongly Agree,Strongly Agree,Agree
30770,3-5,Agree,Agree,Disagree
30771,0,Disagree,Strongly Disagree,Strongly Disagree
30772,99,99,99,99
30773,1-2,Strongly Disagree,Disagree,Disagree
30774,3-5,Strongly Agree,Strongly Agree,Disagree
30775,99,99,99,99
30776,52+,Strongly Agree,Strongly Agree,Agree
30777,6-24,Strongly Disagree,Strongly Disagree,Agree
30778,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30779,99,99,99,99
30780,0,Strongly Disagree,Agree,Strongly Disagree
30781,25-52,Strongly Agree,Strongly Agree,Disagree
30782,0,Disagree,Disagree,Disagree
30783,52+,Strongly Agree,Strongly Agree,Disagree
30784,99,99,99,99
30785,6-24,Agree,Disagree,Disagree
30786,99,99,99,99
30787,0,Agree,Agree,Strongly Disagree
30788,99,99,99,99
30789,0,Agree,Agree,Disagree
30790,99,99,99,99
30791,3-5,Agree,Disagree,Strongly Disagree
30792,99,99,99,99
30793,99,99,99,99
30794,3-5,Disagree,Disagree,Disagree
30795,6-24,Agree,Agree,Strongly Disagree
30796,99,99,99,99
30797,0,Agree,Strongly Disagree,Strongly Disagree
30798,0,Agree,Agree,Agree
30799,99,99,99,99
30800,99,99,99,99
30801,0,Agree,Agree,Disagree
30802,99,99,99,99
30803,99,99,99,99
30804,6-24,Strongly Agree,Strongly Agree,Disagree
30805,99,99,99,99
30806,99,99,99,99
30807,6-24,Strongly Agree,Strongly Agree,Agree
30808,1-2,Strongly Agree,Strongly Agree,Disagree
30809,52+,Agree,Disagree,Agree
30810,1-2,Agree,Agree,Agree
30811,1-2,Strongly Agree,Strongly Agree,Disagree
30812,0,Agree,Agree,Agree
30813,0,Agree,Agree,Disagree
30814,52+,Agree,Agree,Disagree
30815,6-24,Strongly Agree,Strongly Agree,Agree
30816,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30817,6-24,Agree,Agree,Strongly Disagree
30818,0,Strongly Disagree,Disagree,Disagree
30819,99,99,99,99
30820,0,Disagree,Disagree,Strongly Disagree
30821,99,99,99,99
30822,6-24,Agree,Agree,Agree
30823,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30824,6-24,Strongly Agree,Strongly Agree,Strongly Agree
30825,3-5,Agree,Agree,Strongly Disagree
30826,0,99,99,Strongly Disagree
30827,3-5,Strongly Agree,Strongly Agree,Agree
30828,99,99,99,99
30829,1-2,Strongly Agree,Disagree,Agree
30830,6-24,Agree,Agree,Disagree
30831,52+,Strongly Agree,Strongly Agree,Agree
30832,0,Strongly Agree,Strongly Agree,Strongly Agree
30833,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30834,6-24,Agree,Agree,Disagree
30835,99,99,99,99
30836,52+,Strongly Agree,Strongly Agree,Agree
30837,0,Agree,Disagree,Disagree
30838,0,Disagree,Strongly Disagree,Strongly Disagree
30839,52+,Strongly Agree,Strongly Agree,Disagree
30840,0,Agree,Agree,Agree
30841,3-5,Strongly Agree,Strongly Agree,Disagree
30842,25-52,Strongly Agree,Strongly Agree,Agree
30843,52+,Strongly Agree,Strongly Agree,Disagree
30844,0,Agree,Agree,Disagree
30845,99,99,99,99
30846,99,99,99,99
30847,25-52,Strongly Agree,Strongly Agree,Strongly Agree
30848,6-24,Agree,Agree,Disagree
30849,25-52,Strongly Agree,Strongly Agree,Disagree
30850,25-52,Strongly Agree,Strongly Agree,Agree
30851,6-24,Agree,Agree,Disagree
30852,0,Agree,Disagree,Strongly Disagree
30853,99,99,99,99
30854,52+,Strongly Agree,Strongly Agree,Strongly Agree
30855,99,99,99,99
30856,1-2,Agree,Agree,Strongly Disagree
30857,6-24,Agree,Agree,Disagree
30858,0,Agree,Agree,Disagree
30859,52+,Strongly Agree,Strongly Agree,Disagree
30860,0,Agree,Agree,Disagree
30861,52+,Strongly Agree,Strongly Agree,Agree
30862,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30863,99,99,99,99
30864,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30865,25-52,Agree,Agree,Agree
30866,99,99,99,99
30867,6-24,Agree,Agree,Disagree
30868,52+,Agree,Agree,Disagree
30869,99,99,99,99
30870,0,Agree,Agree,Disagree
30871,25-52,Strongly Agree,Strongly Agree,Agree
30872,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30873,0,Agree,Agree,Disagree
30874,3-5,Strongly Agree,Strongly Agree,Disagree
30875,99,99,99,99
30876,3-5,Agree,Agree,Disagree
30877,0,Disagree,Disagree,Disagree
30878,99,99,99,99
30879,1-2,Agree,Disagree,Agree
30880,0,Agree,Disagree,Strongly Disagree
30881,52+,Strongly Agree,Strongly Agree,Agree
30882,99,99,99,99
30883,99,99,99,99
30884,1-2,Agree,Agree,Strongly Disagree
30885,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30886,6-24,Strongly Agree,Strongly Agree,Agree
30887,0,Agree,Agree,Agree
30888,3-5,Strongly Agree,Agree,Disagree
30889,52+,Strongly Agree,Strongly Agree,Strongly Agree
30890,99,99,99,99
30891,3-5,Strongly Agree,Strongly Agree,Disagree
30892,3-5,Agree,Agree,Disagree
30893,0,Disagree,Disagree,Strongly Disagree
30894,3-5,Agree,Agree,Disagree
30895,1-2,Agree,Agree,Strongly Disagree
30896,99,99,99,99
30897,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
30898,52+,Strongly Agree,Strongly Agree,Agree
30899,0,Disagree,Disagree,Strongly Disagree
30900,0,Disagree,Disagree,Disagree
30901,1-2,Agree,Agree,Disagree
30902,99,99,99,99
30903,0,Agree,Agree,Disagree
30904,99,99,99,99
30905,99,99,99,99
30906,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30907,1-2,Strongly Agree,Strongly Agree,Disagree
30908,99,99,99,99
30909,6-24,Strongly Agree,Strongly Agree,Agree
30910,6-24,Strongly Agree,Strongly Agree,Disagree
30911,25-52,Strongly Agree,Strongly Agree,Agree
30912,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
30913,25-52,Strongly Agree,Strongly Agree,Agree
30914,0,Strongly Agree,Strongly Disagree,Strongly Disagree
30915,99,99,99,99
30916,99,99,99,99
30917,0,Disagree,Disagree,Disagree
30918,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30919,99,99,99,99
30920,52+,Strongly Agree,Strongly Agree,Strongly Agree
30921,6-24,Strongly Agree,Strongly Agree,Agree
30922,52+,Agree,Agree,Disagree
30923,99,99,99,99
30924,99,99,99,99
30925,6-24,Agree,Agree,Strongly Disagree
30926,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30927,99,99,99,99
30928,99,99,99,99
30929,0,Disagree,Disagree,Strongly Disagree
30930,0,Agree,Disagree,Disagree
30931,0,Disagree,Agree,Strongly Disagree
30932,99,99,99,99
30933,99,99,99,99
30934,0,99,99,99
30935,6-24,Strongly Agree,Strongly Agree,Agree
30936,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30937,99,99,99,99
30938,99,99,99,99
30939,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
30940,3-5,Strongly Agree,Strongly Agree,Disagree
30941,99,99,99,99
30942,0,Strongly Agree,Agree,Strongly Disagree
30943,52+,Strongly Agree,Agree,Disagree
30944,0,Agree,Agree,Disagree
30945,52+,Strongly Agree,Disagree,Agree
30946,99,99,99,99
30947,6-24,Disagree,Strongly Disagree,Strongly Disagree
30948,99,99,99,99
30949,6-24,Agree,Disagree,Strongly Disagree
30950,52+,Agree,Agree,Disagree
30951,0,Strongly Agree,Strongly Agree,Disagree
30952,25-52,Strongly Agree,Agree,Agree
30953,1-2,Agree,Agree,Disagree
30954,1-2,Disagree,Strongly Disagree,Strongly Disagree
30955,1-2,Agree,Agree,Disagree
30956,99,99,99,99
30957,99,99,99,99
30958,99,99,99,99
30959,99,99,99,99
30960,0,Agree,Strongly Agree,Strongly Disagree
30961,99,99,99,99
30962,0,Agree,Agree,Strongly Disagree
30963,1-2,Disagree,Strongly Disagree,Strongly Disagree
30964,3-5,Agree,Strongly Disagree,Disagree
30965,6-24,Strongly Agree,Strongly Agree,Strongly Agree
30966,99,99,99,99
30967,99,99,99,99
30968,0,Strongly Agree,Strongly Agree,Strongly Agree
30969,1-2,Disagree,Agree,Agree
30970,0,Strongly Disagree,Strongly Disagree,Disagree
30971,99,99,99,99
30972,99,99,99,99
30973,25-52,Strongly Agree,Strongly Agree,Disagree
30974,6-24,Strongly Agree,Strongly Agree,Disagree
30975,6-24,Strongly Disagree,Strongly Disagree,Strongly Disagree
30976,0,99,Disagree,Disagree
30977,25-52,Strongly Disagree,Agree,Disagree
30978,0,Agree,Agree,Disagree
30979,99,99,99,99
30980,1-2,Agree,Disagree,Disagree
30981,99,99,99,99
30982,0,Disagree,Strongly Disagree,Strongly Disagree
30983,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
30984,99,99,99,99
30985,99,99,99,99
30986,99,99,99,99
30987,99,99,99,99
30988,0,Strongly Agree,Strongly Agree,Strongly Agree
30989,6-24,Strongly Agree,Agree,Strongly Disagree
30990,0,Strongly Agree,Agree,Agree
30991,0,Agree,Agree,Agree
30992,1-2,Disagree,Agree,Strongly Agree
30993,0,Agree,Agree,Agree
30994,52+,Agree,Agree,Agree
30995,0,Agree,Agree,Strongly Disagree
30996,99,99,99,99
30997,0,Agree,Agree,Disagree
30998,6-24,Agree,Agree,Agree
30999,0,Disagree,Disagree,Disagree
31000,6-24,Agree,Agree,Disagree
31001,1-2,Disagree,Disagree,Disagree
31002,0,Strongly Agree,Strongly Agree,Strongly Agree
31003,0,Disagree,Disagree,Disagree
31004,99,99,99,99
31005,52+,Strongly Agree,Strongly Agree,Agree
31006,0,Agree,Agree,Agree
31007,1-2,Agree,Agree,Disagree
31008,52+,Strongly Agree,Strongly Agree,Disagree
31009,52+,Strongly Agree,Strongly Agree,Agree
31010,99,99,99,99
31011,99,99,99,99
31012,99,99,99,99
31013,3-5,Strongly Agree,Strongly Agree,Disagree
31014,1-2,Agree,99,99
31015,1-2,Disagree,Agree,Disagree
31016,1-2,Agree,Strongly Agree,Disagree
31017,99,99,99,99
31018,3-5,Agree,Agree,Strongly Disagree
31019,0,Strongly Disagree,Strongly Agree,Agree
31020,1-2,Agree,Agree,Agree
31021,1-2,Disagree,Disagree,Strongly Disagree
31022,1-2,Agree,Agree,Disagree
31023,99,99,99,99
31024,0,Strongly Agree,Strongly Agree,Strongly Disagree
31025,99,99,99,99
31026,52+,Strongly Agree,Strongly Agree,Strongly Disagree
31027,6-24,Agree,Agree,Strongly Disagree
31028,0,Disagree,Strongly Disagree,Strongly Disagree
31029,0,Agree,Agree,Disagree
31030,99,99,99,99
31031,99,99,99,99
31032,25-52,Agree,Agree,Strongly Disagree
31033,6-24,Agree,Agree,Disagree
31034,99,99,99,99
31035,99,99,99,99
31036,99,99,99,99
31037,3-5,Agree,Disagree,Strongly Disagree
31038,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
31039,99,99,99,99
31040,25-52,Strongly Agree,Strongly Agree,Agree
31041,0,Strongly Disagree,Agree,Strongly Disagree
31042,1-2,Agree,Agree,Disagree
31043,99,99,99,99
31044,3-5,Agree,Agree,Disagree
31045,0,Agree,Agree,Strongly Disagree
31046,99,99,99,99
31047,0,Agree,Agree,Agree
31048,6-24,Strongly Agree,Agree,Strongly Disagree
31049,0,Agree,Agree,Disagree
31050,1-2,Agree,Agree,Disagree
31051,1-2,Strongly Disagree,Strongly Disagree,Strongly Disagree
31052,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
31053,0,Disagree,Disagree,Disagree
31054,6-24,Agree,Strongly Agree,Disagree
31055,1-2,Strongly Disagree,Strongly Agree,Disagree
31056,0,Agree,Agree,Agree
31057,6-24,Agree,Agree,Strongly Disagree
31058,3-5,Agree,Strongly Disagree,Agree
31059,1-2,Agree,Disagree,Strongly Disagree
31060,6-24,Strongly Agree,Agree,Agree
31061,3-5,Disagree,Strongly Disagree,Strongly Disagree
31062,0,Disagree,Strongly Disagree,Strongly Disagree
31063,1-2,Disagree,Disagree,Disagree
31064,99,99,99,99
31065,99,99,99,99
31066,0,Strongly Disagree,Disagree,Disagree
31067,0,Disagree,Disagree,Disagree
31068,99,99,99,99
31069,6-24,Strongly Agree,Strongly Agree,Disagree
31070,6-24,Agree,Agree,Disagree
31071,3-5,Agree,Agree,Agree
31072,25-52,Strongly Agree,Agree,Agree
31073,99,99,99,99
31074,0,Agree,Agree,Agree
31075,1-2,Agree,Agree,Agree
31076,0,Agree,Agree,Strongly Disagree
31077,0,Strongly Agree,Strongly Agree,Strongly Disagree
31078,99,99,99,99
31079,0,Disagree,Disagree,Strongly Disagree
31080,0,Agree,Agree,Disagree
31081,25-52,Strongly Agree,Agree,Disagree
31082,52+,Strongly Agree,Strongly Agree,Strongly Disagree
31083,1-2,Disagree,Disagree,Strongly Disagree
31084,0,Agree,Disagree,Disagree
31085,99,99,99,99
31086,6-24,Agree,Agree,Strongly Disagree
31087,0,Disagree,Strongly Disagree,Strongly Disagree
31088,99,99,99,99
31089,99,99,99,99
31090,6-24,Strongly Disagree,Strongly Disagree,Strongly Disagree
31091,99,99,99,99
31092,25-52,Strongly Agree,Strongly Agree,Agree
31093,52+,Strongly Disagree,Agree,Strongly Disagree
31094,0,Agree,Agree,Strongly Disagree
31095,0,Agree,Agree,Strongly Disagree
31096,0,Agree,Strongly Disagree,Strongly Disagree
31097,99,99,99,99
31098,99,99,99,99
31099,0,Agree,Agree,Disagree
31100,52+,Strongly Agree,Strongly Agree,Agree
31101,6-24,Strongly Agree,Strongly Agree,Disagree
31102,52+,Strongly Agree,Strongly Agree,Strongly Agree
31103,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
31104,99,99,99,99
31105,0,Disagree,Disagree,Disagree
31106,99,99,99,99
31107,99,99,99,99
31108,99,99,99,99
31109,52+,Strongly Agree,Strongly Agree,Agree
31110,0,Strongly Disagree,Strongly Disagree,Strongly Disagree
31111,1-2,Disagree,Disagree,Strongly Disagree
31112,0,Agree,Agree,Strongly Disagree
31113,0,Disagree,Disagree,Strongly Disagree
